requirementId,sourceDocument,sourceLocation,sourceType,module,navigationFamily,canonicalRoute,sectionDeepLink,screenWorkspace,capability,businessPurpose,visibleControlAction,workflowStateTransition,dataEntityFields,rolePermission,clinicTenantScope,sourceSystemOwner,privacySensitivityClass,crossModuleContracts,currentProductionCodePath,currentServicePath,currentEvidence,uiImplementationStatus,domainImplementationStatus,crossModuleIntegrationStatus,evidenceAcceptanceStatus,productionStatus,prototypeDisposition,dispositionReason,targetProgrammeWave,acceptanceTestEvidencePath,finalDesignReferenceOrPattern
brdmod_d344b51f534a,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,BRD module M01: Executive Command Centre,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",,,,"Owner / Director, Group Operations Manager, Senior Practice Manager, Finance and Quality Leads",clinic-scoped-unless-stated,Read-only executive summaries with source-completeness and drill-downs,operational,,src/modules/m01-*/ + module-register,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,Deep/strong; match M01 final image; KPI source completeness must be truthful,P2,docs/architecture/prototype-parity/,M01 dashboard
brdtab_173d9f87430b,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,"/dashboard?section=Overview — Today’s priorities, all-location KPIs, urgent alerts and quick links.","Overview — Today’s priorities, all-location KPIs, urgent alerts and quick links.","Tab: Overview — Today’s priorities, all-location KPIs, urgent alerts and quick links.","Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.","Overview — Today’s priorities, all-location KPIs, urgent alerts and quick links.",,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD tab retained in canonical screen register,P2,docs/architecture/prototype-parity/,M01 dashboard
brdtab_d00e4d2e02e0,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,"/dashboard?section=My Day — Role-sensitive daily workspace for shifts, clocking, duties, tasks, training, handovers and alerts.","My Day — Role-sensitive daily workspace for shifts, clocking, duties, tasks, training, handovers and alerts.","Tab: My Day — Role-sensitive daily workspace for shifts, clocking, duties, tasks, training, handovers and alerts.","Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.","My Day — Role-sensitive daily workspace for shifts, clocking, duties, tasks, training, handovers and alerts.",,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD tab retained in canonical screen register,P2,docs/architecture/prototype-parity/,M01 dashboard
brdtab_bcb09b7e9cb2,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,"/dashboard?section=Clinic Health — Location cards with score, reasons, trend and drill-down.","Clinic Health — Location cards with score, reasons, trend and drill-down.","Tab: Clinic Health — Location cards with score, reasons, trend and drill-down.","Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.","Clinic Health — Location cards with score, reasons, trend and drill-down.",,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD tab retained in canonical screen register,P2,docs/architecture/prototype-parity/,M01 dashboard
brdtab_9a495e615f35,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,"/dashboard?section=KPI Scorecard — Comparable workforce, pay, quality, inventory, digital and risk measures.","KPI Scorecard — Comparable workforce, pay, quality, inventory, digital and risk measures.","Tab: KPI Scorecard — Comparable workforce, pay, quality, inventory, digital and risk measures.","Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.","KPI Scorecard — Comparable workforce, pay, quality, inventory, digital and risk measures.",,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD tab retained in canonical screen register,P2,docs/architecture/prototype-parity/,M01 dashboard
brdtab_52e4039f00d2,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,/dashboard?section=Risk & Exceptions — Cross-module red/amber items ranked by severity and due date.,Risk & Exceptions — Cross-module red/amber items ranked by severity and due date.,Tab: Risk & Exceptions — Cross-module red/amber items ranked by severity and due date.,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",Risk & Exceptions — Cross-module red/amber items ranked by severity and due date.,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD tab retained in canonical screen register,P2,docs/architecture/prototype-parity/,M01 dashboard
brdtab_c2bffaddbbe3,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,"/dashboard?section=Reports — Saved management packs, period comparisons and exported summaries.","Reports — Saved management packs, period comparisons and exported summaries.","Tab: Reports — Saved management packs, period comparisons and exported summaries.","Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.","Reports — Saved management packs, period comparisons and exported summaries.",,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD tab retained in canonical screen register,P2,docs/architecture/prototype-parity/,M01 dashboard
brdbtn_d09dff93d10a,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Named action: Switch Clinic / All Clinics,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",Switch Clinic / All Clinics,service-backed transition required for final claim,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,"Named BRD button must map to real action, planned service-backed action, or owner decision",P2,docs/architecture/prototype-parity/,M01 dashboard
brdbtn_e1f800769de0,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Named action: Change Date Range,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",Change Date Range,service-backed transition required for final claim,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,"Named BRD button must map to real action, planned service-backed action, or owner decision",P2,docs/architecture/prototype-parity/,M01 dashboard
brdbtn_9fa22879c20c,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Named action: Open Action Inbox,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",Open Action Inbox,service-backed transition required for final claim,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,"Named BRD button must map to real action, planned service-backed action, or owner decision",P2,docs/architecture/prototype-parity/,M01 dashboard
