▲ Next.js 16.2.10 (webpack)
- Local:         http://localhost:3465
- Network:       http://192.168.30.129:3465
✓ Ready in 1122ms

○ Compiling /[module] ...
 GET /dashboard 200 in 3.4s (next.js: 2.1s, generate-params: 2.1s, application-code: 1345ms)
○ Compiling /_error ...
 GET /staffpay?section=adjustments 500 in 17.4s (next.js: 14.4s, generate-params: 78ms, application-code: 3.0s)
 GET /staffpay?section=adjustments 200 in 2.6s (next.js: 446ms, generate-params: 18ms, application-code: 2.2s)
 GET /staffpay?section=adjustments 200 in 381ms (next.js: 22ms, generate-params: 17ms, application-code: 359ms)
 GET /staff-pay 404 in 1045ms (next.js: 30ms, generate-params: 18ms, application-code: 1014ms)
 GET /m07 404 in 737ms (next.js: 65ms, generate-params: 31ms, application-code: 672ms)
 GET /dashboard 200 in 1415ms (next.js: 19ms, generate-params: 169µs, application-code: 1396ms)
 GET /dashboard 200 in 247ms (next.js: 72ms, generate-params: 25ms, application-code: 175ms)
 GET /staff-doctors 200 in 601ms (next.js: 16ms, generate-params: 139µs, application-code: 585ms)
 GET /dashboard 200 in 6.2s (next.js: 58ms, generate-params: 37ms, application-code: 6.1s)
 GET /dashboard 200 in 1092ms (next.js: 24ms, generate-params: 16ms, application-code: 1067ms)
 GET /dashboard 200 in 1433ms (next.js: 32ms, generate-params: 24ms, application-code: 1401ms)
 GET /action-inbox 200 in 228ms (next.js: 20ms, generate-params: 16ms, application-code: 207ms)
 GET /action-inbox 200 in 411ms (next.js: 26ms, generate-params: 19ms, application-code: 385ms)
 GET /action-inbox 200 in 369ms (next.js: 9ms, generate-params: 82µs, application-code: 359ms)
 GET /settings 200 in 355ms (next.js: 26ms, generate-params: 17ms, application-code: 329ms)
 GET /settings 200 in 219ms (next.js: 8ms, generate-params: 62µs, application-code: 211ms)
 GET /settings 200 in 487ms (next.js: 19ms, generate-params: 7ms, application-code: 468ms)
 GET /settings 200 in 428ms (next.js: 30ms, generate-params: 18ms, application-code: 399ms)
 GET /staff-doctors 200 in 365ms (next.js: 7ms, generate-params: 63µs, application-code: 358ms)
 GET /staff-doctors 200 in 358ms (next.js: 32ms, generate-params: 21ms, application-code: 326ms)
 GET /staff-doctors 200 in 296ms (next.js: 14ms, generate-params: 76µs, application-code: 282ms)
 GET /staff-doctors?section=people 200 in 400ms (next.js: 21ms, generate-params: 15ms, application-code: 379ms)
 GET /staff-doctors?section=people 200 in 395ms (next.js: 10ms, generate-params: 77µs, application-code: 385ms)
 GET /staff-doctors?section=people 200 in 1044ms (next.js: 27ms, generate-params: 16ms, application-code: 1018ms)
 GET /staff-doctors?section=credentials 200 in 564ms (next.js: 16ms, generate-params: 66µs, application-code: 549ms)
 GET /staff-doctors?section=credentials 200 in 313ms (next.js: 24ms, generate-params: 16ms, application-code: 289ms)
 GET /staff-doctors?section=credentials 200 in 934ms (next.js: 47ms, generate-params: 82µs, application-code: 886ms)
 GET /staff-doctors?section=credentials 200 in 723ms (next.js: 7ms, generate-params: 57µs, application-code: 716ms)
 GET /roster 200 in 338ms (next.js: 24ms, generate-params: 16ms, application-code: 313ms)
 GET /roster 200 in 831ms (next.js: 24ms, generate-params: 79µs, application-code: 808ms)
 GET /roster 200 in 732ms (next.js: 22ms, generate-params: 95µs, application-code: 710ms)
 GET /roster 200 in 423ms (next.js: 31ms, generate-params: 19ms, application-code: 392ms)
 GET /roster?section=coverage 200 in 968ms (next.js: 89ms, generate-params: 82ms, application-code: 879ms)
 GET /roster?section=coverage 200 in 445ms (next.js: 11ms, generate-params: 58µs, application-code: 435ms)
 GET /roster?section=coverage 200 in 273ms (next.js: 19ms, generate-params: 12ms, application-code: 254ms)
 GET /roster?section=open-shifts 200 in 822ms (next.js: 8ms, generate-params: 47µs, application-code: 814ms)
○ Compiling /_error ...
 GET /roster?section=open-shifts 200 in 735ms (next.js: 407ms, generate-params: 14ms, application-code: 328ms)
 GET /roster?section=open-shifts 500 in 6.2s (next.js: 5.9s, generate-params: 17ms, application-code: 292ms)
 GET /roster?section=open-shifts 200 in 2.7s (next.js: 446ms, generate-params: 25ms, application-code: 2.2s)
 GET /time-attendance 200 in 1025ms (next.js: 27ms, generate-params: 17ms, application-code: 999ms)
 GET /time-attendance 200 in 454ms (next.js: 47ms, generate-params: 32ms, application-code: 407ms)
 GET /time-attendance 200 in 531ms (next.js: 9ms, generate-params: 72µs, application-code: 523ms)
 GET /time-attendance?section=timesheets 200 in 494ms (next.js: 32ms, generate-params: 20ms, application-code: 462ms)
 GET /time-attendance?section=timesheets 200 in 384ms (next.js: 54ms, generate-params: 37ms, application-code: 330ms)
 GET /time-attendance?section=timesheets 200 in 254ms (next.js: 6ms, generate-params: 44µs, application-code: 249ms)
 GET /time-attendance?section=approvals 200 in 595ms (next.js: 29ms, generate-params: 18ms, application-code: 565ms)
 GET /time-attendance?section=approvals 200 in 374ms (next.js: 12ms, generate-params: 47µs, application-code: 362ms)
 GET /time-attendance?section=approvals 200 in 367ms (next.js: 28ms, generate-params: 17ms, application-code: 339ms)
 GET /time-attendance?section=approvals 200 in 237ms (next.js: 10ms, generate-params: 60µs, application-code: 228ms)
 GET /staffpay?section=overview 200 in 580ms (next.js: 13ms, generate-params: 92µs, application-code: 567ms)
 GET /staffpay?section=overview 200 in 304ms (next.js: 22ms, generate-params: 15ms, application-code: 282ms)
 GET /staffpay?section=overview 200 in 448ms (next.js: 12ms, generate-params: 93µs, application-code: 436ms)
 GET /staffpay?section=people 200 in 498ms (next.js: 22ms, generate-params: 15ms, application-code: 477ms)
 GET /staffpay?section=people 200 in 1022ms (next.js: 13ms, generate-params: 68µs, application-code: 1009ms)
 GET /staffpay?section=people 200 in 957ms (next.js: 35ms, generate-params: 29ms, application-code: 922ms)
 GET /staffpay?section=approval 200 in 1136ms (next.js: 9ms, generate-params: 69µs, application-code: 1126ms)
 GET /staffpay?section=approval 200 in 1025ms (next.js: 39ms, generate-params: 31ms, application-code: 986ms)
 GET /staffpay?section=approval 200 in 1153ms (next.js: 21ms, generate-params: 14ms, application-code: 1131ms)
 GET /staffpay?section=export 200 in 303ms (next.js: 23ms, generate-params: 17ms, application-code: 280ms)
 GET /staffpay?section=export 200 in 606ms (next.js: 14ms, generate-params: 120µs, application-code: 592ms)
 GET /staffpay?section=export 200 in 1424ms (next.js: 14ms, generate-params: 93µs, application-code: 1411ms)
 GET /staffpay?section=export 200 in 314ms (next.js: 32ms, generate-params: 19ms, application-code: 282ms)
 GET /staffpay?section=reconciliation 200 in 1415ms (next.js: 14ms, generate-params: 55µs, application-code: 1401ms)
 GET /staffpay?section=reconciliation 200 in 310ms (next.js: 24ms, generate-params: 17ms, application-code: 285ms)
 GET /staffpay?section=reconciliation 200 in 674ms (next.js: 8ms, generate-params: 76µs, application-code: 666ms)
 GET /staffpay?section=adjustments 200 in 471ms (next.js: 30ms, generate-params: 17ms, application-code: 440ms)
 GET /staffpay?section=adjustments 200 in 1490ms (next.js: 303ms, generate-params: 18ms, application-code: 1187ms)
 GET /staffpay?section=adjustments 500 in 4.9s (next.js: 4.7s, generate-params: 117µs, application-code: 190ms)
 GET /staffpay?section=adjustments 200 in 2.5s (next.js: 100ms, generate-params: 47ms, application-code: 2.4s)
 GET /dashboard 200 in 935ms (next.js: 25ms, generate-params: 14ms, application-code: 910ms)
 GET /dashboard 200 in 1650ms (next.js: 14ms, generate-params: 54µs, application-code: 1636ms)
 GET /action-inbox 200 in 439ms (next.js: 35ms, generate-params: 25ms, application-code: 404ms)
 GET /action-inbox 200 in 391ms (next.js: 26ms, generate-params: 19ms, application-code: 364ms)
 GET /settings 200 in 417ms (next.js: 25ms, generate-params: 18ms, application-code: 392ms)
 GET /settings 200 in 943ms (next.js: 13ms, generate-params: 63µs, application-code: 930ms)
 GET /staff-doctors 200 in 794ms (next.js: 23ms, generate-params: 16ms, application-code: 771ms)
 GET /staff-doctors 200 in 501ms (next.js: 12ms, generate-params: 92µs, application-code: 489ms)
 GET /staff-doctors?section=people 200 in 424ms (next.js: 21ms, generate-params: 15ms, application-code: 402ms)
 GET /staff-doctors?section=people 200 in 646ms (next.js: 15ms, generate-params: 58µs, application-code: 632ms)
 GET /staff-doctors?section=credentials 200 in 252ms (next.js: 27ms, generate-params: 16ms, application-code: 225ms)
 GET /staff-doctors?section=credentials 200 in 256ms (next.js: 12ms, generate-params: 53µs, application-code: 244ms)
 GET /roster 200 in 695ms (next.js: 31ms, generate-params: 19ms, application-code: 665ms)
 GET /roster 200 in 239ms (next.js: 21ms, generate-params: 16ms, application-code: 218ms)
 GET /roster 200 in 405ms (next.js: 12ms, generate-params: 115µs, application-code: 392ms)
 GET /roster?section=coverage 200 in 281ms (next.js: 6ms, generate-params: 55µs, application-code: 275ms)
 GET /roster?section=coverage 200 in 675ms (next.js: 25ms, generate-params: 14ms, application-code: 651ms)
 GET /roster?section=open-shifts 200 in 305ms (next.js: 9ms, generate-params: 40µs, application-code: 296ms)
 GET /roster?section=open-shifts 200 in 472ms (next.js: 37ms, generate-params: 24ms, application-code: 435ms)
 GET /time-attendance 200 in 216ms (next.js: 11ms, generate-params: 98µs, application-code: 205ms)
